match_id,team1,team2,winner,team1_winrate,team2_winrate,winrate_diff,team1_recent_form,team2_recent_form,form_diff,team1_avg_rnd_diff,team2_avg_rnd_diff,rnd_diff_diff,avg_map_rnd_diff,maps_won_team1,maps_won_team2,total_rnd_diff,total_score,team1_team_avg_rating,team2_team_avg_rating,team_avg_rating_diff,team1_team_avg_acs,team2_team_avg_acs,team_avg_acs_diff,team1_team_avg_KD,team2_team_avg_KD,team_avg_KD_diff,team1_team_avg_kast,team2_team_avg_kast,team_avg_kast_diff,team1_team_avg_adr,team2_team_avg_adr,team_avg_adr_diff,team1_team_avg_kpr,team2_team_avg_kpr,team_avg_kpr_diff,team1_team_avg_apr,team2_team_avg_apr,team_avg_apr_diff,team1_team_avg_fkpr,team2_team_avg_fkpr,team_avg_fkpr_diff,team1_norm_rating,team2_norm_rating,norm_rating_diff,team1_norm_acs,team2_norm_acs,norm_acs_diff,team1_norm_KD,team2_norm_KD,norm_KD_diff,team1_norm_kast,team2_norm_kast,norm_kast_diff,team1_norm_adr,team2_norm_adr,norm_adr_diff,team1_norm_kpr,team2_norm_kpr,norm_kpr_diff,team1_norm_apr,team2_norm_apr,norm_apr_diff,team1_norm_fkpr,team2_norm_fkpr,norm_fkpr_diff,team1_composite_score,team2_composite_score,composite_score_diff
450055,Xi Lai Gaming,All Gamers,1,0.636,0.257,0.379,0.6,0.1,0.5,0.0,-15.4,15.4,4.5,2,0,9,2,1.0,1.1,-0.1,215.4,212.0,3.4,1.04,1.01,0.03,0.7,0.72,-0.02,139.9,138.9,1.0,0.8,0.7,0.0,0.21,0.24,-0.03,0.12,0.153,-0.033,-0.562,0.997,-1.559,0.798,0.377,0.421,-0.178,-0.691,0.513,-1.621,0.239,-1.86,0.67,0.479,0.191,0.748,0.363,0.385,-2.852,-1.435,-1.417,0.598,2.723,-2.125,-0.158,0.341,-0.499
458805,DetonatioN FocusMe,Global Esports,0,0.244,0.353,-0.109,0.5,0.4,0.1,-3.8,1.8,-5.6,-4.0,0,2,-8,2,1.0,1.1,-0.1,199.6,215.6,-16.0,1.0,1.05,-0.05,0.71,0.71,-0.0,129.8,141.4,-11.6,0.7,0.7,-0.0,0.26,0.26,0.0,0.11,0.124,-0.014,-1.271,0.503,-1.774,-1.193,0.828,-2.021,-0.943,0.008,-0.951,-0.857,-0.547,-0.31,-1.293,0.951,-2.244,-0.826,0.469,-1.295,-0.714,-0.807,0.093,-0.173,0.889,-1.062,-1.093,0.24,-1.333
459518,KRÜ Esports,LOUD,1,0.4,0.593,-0.193,0.6,0.4,0.2,5.6,-2.2,7.8,1.3,2,1,4,3,1.1,1.0,0.0,223.2,204.8,18.4,1.09,1.01,0.08,0.71,0.71,-0.0,144.8,134.1,10.7,0.8,0.7,0.1,0.25,0.31,-0.06,0.132,0.098,0.034,0.401,-0.511,0.912,1.791,-0.531,2.322,0.701,-0.826,1.527,-0.547,-0.235,-0.312,1.615,-0.449,2.064,1.366,-0.679,2.045,-1.086,1.887,-2.973,1.443,-1.197,2.64,0.59,-0.441,1.031
459517,Cloud9,NRG,1,0.557,0.608,-0.05,0.4,0.7,-0.3,-0.6,4.2,-4.8,1.7,2,1,5,3,1.1,1.1,-0.0,218.2,211.6,6.6,1.08,1.1,-0.03,0.73,0.74,-0.01,140.7,137.7,3.0,0.8,0.7,0.0,0.3,0.3,-0.0,0.12,0.108,0.012,0.503,1.212,-0.709,1.151,0.328,0.823,0.448,0.95,-0.502,1.042,1.865,-0.823,0.809,0.246,0.563,0.887,0.328,0.559,1.237,1.423,-0.186,0.598,-0.335,0.933,0.706,0.789,-0.083
450054,TYLOO,FunPlus Phoenix,0,0.41,0.525,-0.115,0.2,0.5,-0.3,-2.6,1.8,-4.4,-2.3,1,2,-7,3,1.0,1.0,0.0,207.1,205.3,1.8,0.99,1.01,-0.02,0.7,0.71,-0.01,137.5,135.1,2.4,0.7,0.7,0.0,0.27,0.27,0.01,0.114,0.114,0.0,0.097,-0.967,1.064,-0.246,-0.478,0.232,-1.138,-0.71,-0.428,-1.317,-0.857,-0.46,0.207,-0.267,0.474,-0.679,-0.752,0.073,0.029,-0.343,0.372,0.144,0.144,0.0,-0.394,-0.612,0.218
450053,Nova Esports,EDward Gaming,1,0.453,0.679,-0.226,0.6,0.7,-0.1,11.2,-0.6,11.8,3.5,2,0,7,2,1.0,1.0,-0.1,195.1,208.8,-13.7,0.97,1.04,-0.08,0.69,0.7,-0.01,121.7,135.7,-14.0,0.7,0.7,-0.0,0.29,0.26,0.03,0.09,0.113,-0.023,-1.854,-0.502,-1.352,-1.764,-0.031,-1.733,-1.626,-0.122,-1.504,-2.073,-1.062,-1.011,-2.857,-0.157,-2.7,-1.65,-0.051,-1.599,0.888,-0.467,1.355,-1.951,0.092,-2.043,-1.678,-0.244,-1.434
459042,Karmine Corp GC,GIANTX GC,1,0.46,0.438,0.023,0.9,0.4,0.5,8.8,-2.8,11.6,1.8,3,2,9,5,1.0,1.0,0.0,201.0,197.0,4.0,1.02,1.0,0.02,0.72,0.72,0.0,133.2,132.0,1.2,0.7,0.7,0.0,0.3,0.25,0.05,0.106,0.1,0.006,-0.612,0.0,-0.612,-1.021,0.0,-1.021,-0.557,0.0,-0.557,0.239,0.0,0.239,-0.622,0.0,-0.622,-0.9,0.0,-0.9,1.237,0.0,1.237,-0.501,0.0,-0.501,-0.497,0.0,-0.497
461156,MIBR GC,Vila das Flores,1,0.579,0.0,0.579,0.3,0.0,0.3,5.8,0.0,5.8,12.0,2,0,24,2,1.1,1.0,0.1,215.2,197.0,18.2,1.12,1.0,0.12,0.72,0.72,0.01,140.9,132.0,8.9,0.8,0.7,0.1,0.27,0.25,0.02,0.12,0.1,0.02,1.187,0.0,1.187,0.784,0.0,0.784,1.231,0.0,1.231,0.638,0.0,0.638,0.865,0.0,0.865,0.887,0.0,0.887,-0.389,0.0,-0.389,0.598,0.0,0.598,0.847,0.0,0.847
461249,Galakticos,ULF Esports,0,0.0,1.0,-1.0,0.0,1.0,-1.0,-4.2,5.5,-9.8,-4.0,0,1,-4,1,1.0,1.0,0.0,197.0,199.2,-2.2,1.0,1.01,-0.01,0.72,0.7,0.02,132.0,130.7,1.3,0.7,0.7,-0.0,0.25,0.27,-0.02,0.1,0.104,-0.004,0.0,-0.967,0.967,0.0,-1.248,1.248,0.0,-0.787,0.787,0.0,-1.165,1.165,0.0,-1.108,1.108,0.0,-1.048,1.048,0.0,-0.064,0.064,0.0,-0.67,0.67,0.0,-0.839,0.839
461155,Team Liquid Brazil,Stellae Gaming GC,1,0.745,0.0,0.745,0.5,0.0,0.5,-0.2,0.0,-0.2,10.5,2,0,21,2,1.1,1.0,0.1,207.6,197.0,10.6,1.07,1.0,0.07,0.73,0.72,0.01,136.7,132.0,4.7,0.7,0.7,0.0,0.32,0.25,0.07,0.094,0.1,-0.006,0.807,0.0,0.807,-0.182,0.0,-0.182,0.339,0.0,0.339,0.88,0.0,0.88,0.041,0.0,0.041,-0.315,0.0,-0.315,2.352,0.0,2.352,-1.566,0.0,-1.566,0.372,0.0,0.372
459044,G2 Gozen,GIANTX GC,0,0.722,0.4,0.322,0.6,0.4,0.2,-0.4,-7.6,7.2,-3.0,1,3,-12,4,1.1,1.0,0.1,217.1,197.0,20.1,1.16,1.0,0.16,0.74,0.72,0.02,141.9,132.0,9.9,0.8,0.7,0.1,0.28,0.25,0.03,0.11,0.1,0.01,2.023,0.0,2.023,1.015,0.0,1.015,1.983,0.0,1.983,2.199,0.0,2.199,1.052,0.0,1.052,1.501,0.0,1.501,0.493,0.0,0.493,-0.173,0.0,-0.173,1.46,0.0,1.46
459085,Cubert Academy,ENVY,1,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,6.5,-6.5,1.0,2,1,3,3,1.0,1.0,-0.0,197.0,210.6,-13.6,1.0,1.06,-0.06,0.72,0.72,-0.0,132.0,136.4,-4.4,0.7,0.7,-0.0,0.25,0.26,-0.01,0.1,0.122,-0.022,0.0,-0.308,0.308,0.0,0.197,-0.197,0.0,0.229,-0.229,0.0,0.398,-0.398,0.0,-0.013,0.013,0.0,0.187,-0.187,0.0,-0.622,0.622,0.0,0.745,-0.745,0.0,0.157,-0.157
454600,Las Cabras GC,KRÜ BLAZE,0,0.0,0.882,-0.882,0.0,0.8,-0.8,0.0,6.4,-6.4,-7.5,0,2,-15,2,1.0,1.1,-0.1,197.0,205.9,-8.9,1.0,1.16,-0.16,0.72,0.74,-0.02,132.0,134.8,-2.8,0.7,0.7,-0.0,0.25,0.28,-0.03,0.1,0.09,0.01,0.0,1.567,-1.567,0.0,-0.391,0.391,0.0,1.831,-1.831,0.0,1.865,-1.865,0.0,-0.321,0.321,0.0,0.187,-0.187,0.0,0.54,-0.54,0.0,-1.951,1.951,0.0,0.812,-0.812
461241,ULF Esports,İstanbul Wildcats,1,1.0,0.0,1.0,1.0,0.0,1.0,5.0,-11.0,16.0,7.0,1,0,7,1,1.0,1.0,0.0,199.2,197.0,2.2,1.01,1.0,0.01,0.7,0.72,-0.02,130.7,132.0,-1.3,0.7,0.7,0.0,0.27,0.25,0.02,0.104,0.1,0.004,-0.967,0.0,-0.967,-1.248,0.0,-1.248,-0.787,0.0,-0.787,-1.165,0.0,-1.165,-1.108,0.0,-1.108,-1.048,0.0,-1.048,-0.064,0.0,-0.064,-0.67,0.0,-0.67,-0.839,0.0,-0.839
459041,G2 Gozen,Karmine Corp GC,0,0.729,0.452,0.278,0.7,0.8,-0.1,3.8,6.6,-2.8,-4.0,0,2,-8,2,1.1,1.0,0.1,217.1,201.0,16.1,1.16,1.02,0.14,0.74,0.72,0.02,141.9,133.2,8.7,0.8,0.7,0.1,0.28,0.3,-0.02,0.11,0.106,0.004,2.023,-0.612,2.635,1.015,-1.021,2.036,1.983,-0.557,2.54,2.199,0.239,1.96,1.052,-0.622,1.674,1.501,-0.9,2.401,0.493,1.237,-0.744,-0.173,-0.501,0.328,1.46,-0.497,1.957
461239,ULF Esports,Papara SuperMassive,1,1.0,0.333,0.667,1.0,0.333,0.667,6.5,0.7,5.8,2.0,1,0,2,1,1.0,1.0,0.0,199.2,197.0,2.2,1.01,1.0,0.01,0.7,0.72,-0.02,130.7,132.0,-1.3,0.7,0.7,0.0,0.27,0.25,0.02,0.104,0.1,0.004,-0.967,0.0,-0.967,-1.248,0.0,-1.248,-0.787,0.0,-0.787,-1.165,0.0,-1.165,-1.108,0.0,-1.108,-1.048,0.0,-1.048,-0.064,0.0,-0.064,-0.67,0.0,-0.67,-0.839,0.0,-0.839
