match_id,team1,team2,event,series,winner,score_diff,total_rnd_diff,num_maps,avg_round_diff,max_round_diff,min_round_diff,maps_played,t1_matches,t1_wins,t1_map_diff,t1_round_diff,t2_matches,t2_wins,t2_map_diff,t2_round_diff
591446,BBL Esports,Galatasaray Esports,Project Blender 2025,Phase 3–Round 3 (2-0),1,2,5,2,2.5,3,2,Haven|Sunset,62,37,19,108,5,2,-4,-25
591447,GIANTX,Gamax Esports,Project Blender 2025,Phase 3–Round 3 (2-0),1,2,17,2,8.5,9,8,Abyss|Split,46,21,-3,-117,2,0,-3,-28
591448,Karmine Corp,trashcan,Project Blender 2025,Phase 3–Round 3 (2-0),1,2,8,2,4.0,5,3,Split|Sunset,65,32,0,27,2,0,-4,-31
591458,Gentle Mates,Ramboot Club,Project Blender 2025,Phase 3–Round 3 (1-1),1,1,7,1,7.0,7,7,Bind,58,29,4,3,3,1,-1,-12
591454,Natus Vincere,Joblife,Project Blender 2025,Phase 3–Round 3 (1-1),1,1,3,1,3.0,3,3,Split,65,33,-5,-9,4,2,0,5
591455,FUT Esports,Lost Puppies,Project Blender 2025,Phase 3–Round 3 (1-1),1,1,4,1,4.0,4,4,Corrode,99,57,12,98,2,1,1,9
591456,Team Vitality,Erah Esport,Project Blender 2025,Phase 3–Round 3 (1-1),1,1,10,1,10.0,10,10,Corrode,62,32,1,56,2,0,-2,-22
589961,EDward Gaming,Bilibili Gaming,Shanghai Esports Masters 2025,Main Event–Semifinals,1,2,15,2,7.5,9,6,Pearl|Haven,133,84,73,457,104,52,5,-43
587264,FULL SENSE,ZETA DIVISION,SOOP Valorant League 2025,Group Stage–Elimination (A),1,2,8,2,4.0,6,2,Pearl|Split,6,3,0,9,58,24,-21,-187
589960,FunPlus Phoenix,Trace Esports,Shanghai Esports Masters 2025,Main Event–Semifinals,0,-1,-4,3,-1.3333333333333333,2,-4,Split|Bind|Abyss,94,48,-3,100,91,48,1,5
587263,FNATIC,T1,SOOP Valorant League 2025,Group Stage–Winner's (A),0,-2,-14,2,-7.0,-6,-8,Pearl|Abyss,97,66,56,388,94,53,15,133
591433,Karmine Corp,BONK,Project Blender 2025,Phase 3–Round 2 (1-0),1,1,5,1,5.0,5,5,Sunset,65,32,0,27,1,0,-1,-5
591441,Team Vitality,Nuxeria Esport,Project Blender 2025,Phase 3–Round 2 (0-1),1,1,10,1,10.0,10,10,Corrode,62,32,1,56,3,1,-1,-3
591442,Natus Vincere,BLX CORP,Project Blender 2025,Phase 3–Round 2 (0-1),1,1,3,1,3.0,3,3,Haven,65,33,-5,-9,1,0,-1,-3
591429,Gentle Mates,Galatasaray Esports,Project Blender 2025,Phase 3–Round 2 (1-0),0,-1,-3,1,-3.0,-3,-3,Haven,58,29,4,3,5,2,-4,-25
591437,FUT Esports,GoFund4OmarHouse,Project Blender 2025,Phase 3–Round 2 (0-1),1,1,9,1,9.0,9,9,Abyss,99,57,12,98,1,0,-1,-9
591438,Karmine Corp GC,Joblife,Project Blender 2025,Phase 3–Round 2 (0-1),0,-1,-10,1,-10.0,-10,-10,Sunset,82,38,-6,-42,4,2,0,5
591421,Eternal Fire,Team Vitality,Project Blender 2025,Phase 3–Round 1,1,1,2,1,2.0,2,2,Abyss,6,3,0,-7,62,32,1,56
591422,3BL Esports,Karmine Corp,Project Blender 2025,Phase 3–Round 1,0,-1,-3,1,-3.0,-3,-3,Bind,2,0,-3,-18,65,32,0,27
591423,Team Liquid Academy,Natus Vincere,Project Blender 2025,Phase 3–Round 1,1,1,5,1,5.0,5,5,Abyss,5,3,1,2,65,33,-5,-9
591412,Karmine Corp GC,Ramboot Club,Project Blender 2025,Phase 3–Round 1,0,-1,-3,1,-3.0,-3,-3,Corrode,82,38,-6,-42,3,1,-1,-12
591413,Galatasaray Esports,FUT Esports,Project Blender 2025,Phase 3–Round 1,1,1,8,1,8.0,8,8,Split,5,2,-4,-25,99,57,12,98
591414,Joblife,BBL Esports,Project Blender 2025,Phase 3–Round 1,0,-1,-4,1,-4.0,-4,-4,Sunset,4,2,0,5,62,37,19,108
591418,Erah Esport,Gentle Mates,Project Blender 2025,Phase 3–Round 1,0,-1,-12,1,-12.0,-12,-12,Pearl,2,0,-2,-22,58,29,4,3
587272,Rex Regum Qeon,Gen.G,SOOP Valorant League 2025,Group Stage–Opening (B),0,-1,-8,3,-2.6666666666666665,3,-9,Haven|Abyss|Split,65,31,-5,-25,105,67,44,332
587271,DRX,SLT Seongnam,SOOP Valorant League 2025,Group Stage–Opening (B),0,-2,-9,2,-4.5,-4,-5,Sunset|Pearl,118,70,27,178,4,2,0,6
587262,T1,ZETA DIVISION,SOOP Valorant League 2025,Group Stage–Opening (A),1,2,12,2,6.0,8,4,Haven|Split,94,53,15,133,58,24,-21,-187
590032,LEVIATÁN,DRX,China Esports Festival Super Champions Cup,Main Event–Grand Final,1,2,7,4,1.75,8,-6,Pearl|Haven|Split|Bind,75,41,21,76,118,70,27,178
590033,Bilibili Gaming,EDward Gaming,China Esports Festival Super Champions Cup,Main Event–Consolation Final,1,1,-5,3,-1.6666666666666667,2,-9,Pearl|Split|Bind,104,52,5,-43,133,84,73,457
581494,Team Liquid Brazil,Shopify Rebellion Gold,Game Changers 2025: Championship Seoul,Main Event–Grand Final,1,1,1,5,0.2,5,-7,Haven|Pearl|Bind|Sunset|Split,56,43,60,392,76,54,60,395
590031,DRX,EDward Gaming,China Esports Festival Super Champions Cup,Main Event–Semifinals,1,2,6,2,3.0,4,2,Bind|Haven,118,70,27,178,133,84,73,457
590030,LEVIATÁN,Bilibili Gaming,China Esports Festival Super Champions Cup,Main Event–Semifinals,1,2,10,2,5.0,8,2,Split|Corrode,75,41,21,76,104,52,5,-43
590029,Wolves Esports,Bilibili Gaming,China Esports Festival Super Champions Cup,Main Event–Group B,1,1,2,1,2.0,2,2,Pearl,67,34,2,-36,104,52,5,-43
590028,DRX,Wolves Esports,China Esports Festival Super Champions Cup,Main Event–Group B,1,1,3,1,3.0,3,3,Split,118,70,27,178,67,34,2,-36
590027,Bilibili Gaming,DRX,China Esports Festival Super Champions Cup,Main Event–Group B,1,1,2,1,2.0,2,2,Split,104,52,5,-43,118,70,27,178
581502,Shopify Rebellion Gold,MIBR GC,Game Changers 2025: Championship Seoul,Main Event–Lower Final,1,2,3,4,0.75,6,-7,Pearl|Split|Corrode|Abyss,76,54,60,395,60,39,35,316
590026,LEVIATÁN,Rex Regum Qeon,China Esports Festival Super Champions Cup,Main Event–Group A,1,1,5,1,5.0,5,5,Split,75,41,21,76,65,31,-5,-25
590025,EDward Gaming,LEVIATÁN,China Esports Festival Super Champions Cup,Main Event–Group A,0,-1,-9,1,-9.0,-9,-9,Pearl,133,84,73,457,75,41,21,76
590024,Rex Regum Qeon,EDward Gaming,China Esports Festival Super Champions Cup,Main Event–Group A,0,-1,-4,1,-4.0,-4,-4,Split,65,31,-5,-25,133,84,73,457
581501,KRÜ BLAZE,MIBR GC,Game Changers 2025: Championship Seoul,Main Event–Lower Round 4,0,-2,-11,2,-5.5,-4,-7,Pearl|Bind,48,39,62,506,60,39,35,316
581493,Team Liquid Brazil,Shopify Rebellion Gold,Game Changers 2025: Championship Seoul,Main Event–Upper Final,1,1,5,3,1.6666666666666667,6,-3,Haven|Pearl|Sunset,56,43,60,392,76,54,60,395
581499,Karmine Corp GC,KRÜ BLAZE,Game Changers 2025: Championship Seoul,Main Event–Lower Round 3,0,-2,-17,2,-8.5,-7,-10,Split|Haven,82,38,-6,-42,48,39,62,506
581500,G2 Gozen,MIBR GC,Game Changers 2025: Championship Seoul,Main Event–Lower Round 3,0,-1,4,3,1.3333333333333333,8,-2,Bind|Sunset|Split,119,85,100,657,60,39,35,316
581492,Shopify Rebellion Gold,Karmine Corp GC,Game Changers 2025: Championship Seoul,Main Event–Upper Semifinals,1,1,9,3,3.0,8,-6,Abyss|Haven|Sunset,76,54,60,395,82,38,-6,-42
581491,G2 Gozen,Team Liquid Brazil,Game Changers 2025: Championship Seoul,Main Event–Upper Semifinals,0,-1,-1,3,-0.3333333333333333,11,-10,Haven|Corrode|Split,119,85,100,657,56,43,60,392
581497,Nova Esports GC,KRÜ BLAZE,Game Changers 2025: Championship Seoul,Main Event–Lower Round 2,0,-2,-11,2,-5.5,-2,-9,Split|Haven,16,9,5,75,48,39,62,506
581498,MIBR GC,Ninetails,Game Changers 2025: Championship Seoul,Main Event–Lower Round 2,1,2,17,2,8.5,9,8,Split|Bind,60,39,35,316,10,6,2,25
588245,100 Thieves,The TANDIS Hammers,FunhaverGG: Back to Basics 10,Playoffs–Grand Final,1,2,8,2,4.0,6,2,Abyss|Split,68,33,2,42,1,0,-2,-8
588243,100 Thieves,team name,FunhaverGG: Back to Basics 10,Playoffs–Semifinals,1,2,9,2,4.5,7,2,Abyss|Bind,68,33,2,42,1,0,-2,-9
588239,100 Thieves,Calamity,FunhaverGG: Back to Basics 10,Playoffs–Quarterfinals,1,2,9,2,4.5,7,2,Haven|Abyss,68,33,2,42,1,0,-2,-9
587809,CGN Esports,FUT Esports,Monsters Reloaded 2025,Main Event–Grand Final,0,-1,3,5,0.6,11,-6,Abyss|Split|Corrode|Pearl|Haven,2,1,0,2,99,57,12,98
581495,KRÜ BLAZE,GIANTX GC,Game Changers 2025: Championship Seoul,Main Event–Lower Round 1,1,1,16,3,5.333333333333333,10,-2,Split|Haven|Pearl,48,39,62,506,78,45,19,135
581496,Xipto Esports GC,Ninetails,Game Changers 2025: Championship Seoul,Main Event–Lower Round 1,0,-1,-12,3,-4.0,5,-9,Pearl|Bind|Split,27,21,30,252,10,6,2,25
587808,FUT Esports,Fenerbahçe Esports,Monsters Reloaded 2025,Main Event–Semifinals,1,2,8,2,4.0,6,2,Abyss|Corrode,99,57,12,98,1,0,-2,-8
587807,Gentle Mates,CGN Esports,Monsters Reloaded 2025,Main Event–Semifinals,0,-1,1,3,0.3333333333333333,11,-7,Split|Pearl|Haven,58,29,4,3,2,1,0,2
581489,Shopify Rebellion Gold,MIBR GC,Game Changers 2025: Championship Seoul,Main Event–Upper Quarterfinals,1,2,15,2,7.5,12,3,Pearl|Corrode,76,54,60,395,60,39,35,316
581487,G2 Gozen,Nova Esports GC,Game Changers 2025: Championship Seoul,Main Event–Upper Quarterfinals,1,2,11,2,5.5,6,5,Corrode|Split,119,85,100,657,16,9,5,75
581488,Team Liquid Brazil,KRÜ BLAZE,Game Changers 2025: Championship Seoul,Main Event–Upper Quarterfinals,1,2,15,2,7.5,8,7,Corrode|Bind,56,43,60,392,48,39,62,506
581490,Xipto Esports GC,Karmine Corp GC,Game Changers 2025: Championship Seoul,Main Event–Upper Quarterfinals,0,-2,-15,2,-7.5,-6,-9,Abyss|Corrode,27,21,30,252,82,38,-6,-42
581486,MIBR GC,GIANTX GC,Game Changers 2025: Championship Seoul,Main Event–Upper Round 1,1,1,5,3,1.6666666666666667,8,-5,Haven|Abyss|Split,60,39,35,316,78,45,19,135
581485,Ninetails,Nova Esports GC,Game Changers 2025: Championship Seoul,Main Event–Upper Round 1,0,-2,-11,2,-5.5,-4,-7,Bind|Haven,10,6,2,25,16,9,5,75
585453,NRG,G2 Esports,Red Bull Home Ground 2025,Main Event–Grand Final,0,-3,-18,3,-6.0,-3,-9,Corrode|Split|Pearl,80,54,43,300,104,64,41,285
582537,Nova Esports,FunPlus Phoenix,China Evolution Series: Epilogue,Main Event–Grand Final,0,-2,-8,4,-2.0,2,-6,Bind|Haven|Corrode|Sunset,66,30,-9,-22,94,48,-3,100
585459,ZETA DIVISION,G2 Esports,Red Bull Home Ground 2025,Main Event–Lower Final,0,-2,-19,2,-9.5,-9,-10,Sunset|Split,58,24,-21,-187,104,64,41,285
585452,NRG,ZETA DIVISION,Red Bull Home Ground 2025,Main Event–Upper Final,1,2,14,2,7.0,7,7,Corrode|Haven,80,54,43,300,58,24,-21,-187
584433,Team Secret,Sharper Esport,SOOP Valorant League 2025,Southeast Asian Qualifier–Lower Final,0,-2,-14,2,-7.0,-5,-9,Sunset|Split,60,29,-2,-16,1,1,2,14
582538,JDG Esports,Trace Esports,China Evolution Series: Epilogue,Main Event–Consolation Final,1,1,16,5,3.2,12,-2,Split|Haven|Abyss|Sunset|Pearl,49,19,-10,-1,91,48,1,5
585458,FNATIC,G2 Esports,Red Bull Home Ground 2025,Main Event–Lower Round 3,0,-1,-2,1,-2.0,-2,-2,Abyss,97,66,56,388,104,64,41,285
585457,Sentinels,G2 Esports,Red Bull Home Ground 2025,Main Event–Lower Round 2,0,-1,-5,1,-5.0,-5,-5,Split,108,70,52,324,104,64,41,285
585456,FNATIC,T1,Red Bull Home Ground 2025,Main Event–Lower Round 2,1,1,8,1,8.0,8,8,Haven,97,66,56,388,94,53,15,133
585455,Cloud9,G2 Esports,Red Bull Home Ground 2025,Main Event–Lower Round 1,0,-1,-2,1,-2.0,-2,-2,Haven,83,43,-2,43,104,64,41,285
585454,Cubert Academy,T1,Red Bull Home Ground 2025,Main Event–Lower Round 1,0,-1,-6,1,-6.0,-6,-6,Sunset,9,3,-5,-31,94,53,15,133
585450,NRG,Sentinels,Red Bull Home Ground 2025,Main Event–Upper Semifinals,1,1,2,1,2.0,2,2,Pearl,80,54,43,300,108,70,52,324
585451,FNATIC,ZETA DIVISION,Red Bull Home Ground 2025,Main Event–Upper Semifinals,0,-1,-12,1,-12.0,-12,-12,Bind,97,66,56,388,58,24,-21,-187
585448,FNATIC,Cloud9,Red Bull Home Ground 2025,Main Event–Upper Quarterfinals,1,1,6,1,6.0,6,6,Split,97,66,56,388,83,43,-2,43
585449,G2 Esports,ZETA DIVISION,Red Bull Home Ground 2025,Main Event–Upper Quarterfinals,0,-1,-6,1,-6.0,-6,-6,Haven,104,64,41,285,58,24,-21,-187
585446,NRG,Cubert Academy,Red Bull Home Ground 2025,Main Event–Upper Quarterfinals,1,1,9,1,9.0,9,9,Haven,80,54,43,300,9,3,-5,-31
585447,T1,Sentinels,Red Bull Home Ground 2025,Main Event–Upper Quarterfinals,0,-1,-2,1,-2.0,-2,-2,Sunset,94,53,15,133,108,70,52,324
584426,FULL SENSE,Team Secret,SOOP Valorant League 2025,Southeast Asian Qualifier–Upper Final,1,1,3,3,1.0,3,-2,Pearl|Split|Haven,6,3,0,9,60,29,-2,-16
582536,Trace Esports,FunPlus Phoenix,China Evolution Series: Epilogue,Main Event–Semifinals,0,-1,-14,3,-4.666666666666667,3,-10,Haven|Abyss|Bind,91,48,1,5,94,48,-3,100
582535,Nova Esports,JDG Esports,China Evolution Series: Epilogue,Main Event–Semifinals,1,1,4,3,1.3333333333333333,8,-7,Split|Haven|Sunset,66,30,-9,-22,49,19,-10,-1
585213,KlanNaLan,Cloud9,Red Bull Home Ground 2025,Play-In–Knockouts,0,-1,-2,1,-2.0,-2,-2,Sunset,1,0,-1,-2,83,43,-2,43
585212,ENVY,Eintracht Frankfurt,Red Bull Home Ground 2025,Play-In–Round 3,1,1,2,1,2.0,2,2,Pearl,37,28,34,227,1,0,-1,-2
585207,Cloud9,FENNEL,Red Bull Home Ground 2025,Play-In–Round 2,1,1,8,1,8.0,8,8,Sunset,83,43,-2,43,2,0,-2,-19
585205,BXL Zoo,ENVY,Red Bull Home Ground 2025,Play-In–Round 1,1,1,5,1,5.0,5,5,Bind,1,1,1,5,37,28,34,227
585203,Cloud9,Team RA'AD,Red Bull Home Ground 2025,Play-In–Round 1,1,1,3,1,3.0,3,3,Bind,83,43,-2,43,1,0,-1,-3
584430,Fancy United Esports,Global Esports,SOOP Valorant League 2025,Southeast Asian Qualifier–Lower Round 2,1,1,6,3,2.0,4,-2,Haven|Bind|Sunset,4,2,-1,-12,45,16,-20,-89
582534,Wolves Esports,FunPlus Phoenix,China Evolution Series: Epilogue,Main Event–Quarterfinals,0,-1,-8,3,-2.6666666666666665,2,-7,Abyss|Haven|Corrode,67,34,2,-36,94,48,-3,100
582533,Titan Esports Club,Trace Esports,China Evolution Series: Epilogue,Main Event–Quarterfinals,0,-2,-14,2,-7.0,-5,-9,Bind|Haven,57,22,-25,-164,91,48,1,5
584428,Global Esports,Team NKT,SOOP Valorant League 2025,Southeast Asian Qualifier–Lower Round 1,1,2,19,2,9.5,10,9,Bind|Split,45,16,-20,-89,2,1,0,-13
582532,JDG Esports,Any Questions Gaming,China Evolution Series: Epilogue,Main Event–Quarterfinals,1,2,11,2,5.5,7,4,Haven|Sunset,49,19,-10,-1,1,0,-2,-11
584425,Team Secret,Motiv Esports,SOOP Valorant League 2025,Southeast Asian Qualifier–Upper Semifinals,1,2,9,2,4.5,7,2,Pearl|Split,60,29,-2,-16,1,0,-2,-9
582531,Nova Esports,EDward Gaming,China Evolution Series: Epilogue,Main Event–Quarterfinals,1,1,15,3,5.0,10,-4,Split|Sunset|Haven,66,30,-9,-22,133,84,73,457
584422,Team Secret,Xipto Esports,SOOP Valorant League 2025,Southeast Asian Qualifier–Upper Quarterfinals,1,1,5,3,1.6666666666666667,7,-5,Bind|Corrode|Pearl,60,29,-2,-16,2,1,0,1
584420,Global Esports,Fancy United Esports,SOOP Valorant League 2025,Southeast Asian Qualifier–Upper Quarterfinals,0,-1,-8,3,-2.6666666666666665,7,-9,Pearl|Abyss|Haven,45,16,-20,-89,4,2,-1,-12
580114,FNATIC,GIANTX,INZONE London Clash,Main Event–Main Event,1,1,13,3,4.333333333333333,9,-2,Bind|Haven|Abyss,97,66,56,388,46,21,-3,-117
582201,DRX,Nongshim RedForce,TEN Global Invitational 2025,Main Event–Grand Final,0,-1,2,3,0.6666666666666666,10,-5,Split|Pearl|Bind,118,70,27,178,25,14,6,35
582200,Nongshim RedForce,Team Heretics,TEN Global Invitational 2025,Main Event–Semifinal,1,2,14,2,7.0,12,2,Split|Sunset,25,14,6,35,92,53,31,138
582199,Wolves Esports,Team Heretics,TEN Global Invitational 2025,Main Event–Quarterfinal,0,-1,-4,1,-4.0,-4,-4,Split,67,34,2,-36,92,53,31,138
